,Stat,P-Value,Mean (Class 0),Mean (Class 1),Chi2 Stat,Proportion (Class 0),Proportion (Class 1)
ICD_C,71549881.0,0.0,0.10201256522202108,0.6658128875707738,,,
CRP,64524392.5,0.0,30.335534021935885,74.67476633414219,,,
LEUKOCYTTER,74426042.0,0.0,6.576182751807295,10.83327446751144,,,
ICD_I,78565754.5,0.0,0.20370567564689596,0.746157994068482,,,
ICD_J,80707904.0,0.0,0.14293827423419586,0.49015907252628743,,,
procedure_R_aggregate,80991734.0,0.0,1.203457210804671,1.8061472094904287,,,
ICD_J_aggregate,75051088.0,0.0,2.1058460227877753,4.130493394445942,,,
ICD_I_aggregate,70409711.5,0.0,5.215170553366699,8.984631976273928,,,
procedure_0_aggregate,92207019.0,0.0,0.20679373868597595,1.8456457266109463,,,
age,55954082.5,0.0,55.44148652965605,75.13345915341063,,,
total_los,55653342.5,0.0,29.37551319821564,55.32891839669267,,,
time_to_last,139810218.5,0.0,4029.568381074078,1528.2231059584794,,,
care_level_code,,0.0,,,5309.82522571323,0.7020906541724345,0.6952008627662443
urgency_code,,0.0,,,3476.8719636480846,0.6887445426472154,0.6350768401186303
ICD_C_aggregate,66088361.5,0.0,5.717992404074823,21.923159881369642,,,
procedure_G,92445021.5,6.461147808177588e-307,0.05373939587548362,0.2100296575896468,,,
ICD_D_aggregate,81522390.0,1.0225342241721986e-248,1.3226138501402052,2.241978970072796,,,
KREATININ_average,78101941.5,1.7937638791577205e-246,69.55719831856099,96.03102039289094,,,
BILIRUBIN TOTAL,84048749.5,2.224428000205524e-239,4.395248405683929,10.34822953176957,,,
KREATININ,79927593.0,9.871251480293905e-217,57.850612051728,95.90825536982118,,,
procedure_G_aggregate,84138332.5,2.5276146830778575e-213,1.2656799062932595,2.038285252089512,,,
ICD_E_aggregate,83236161.5,2.527435546142632e-204,2.262733823164022,2.9621191695874898,,,
procedure_U_aggregate,84930257.0,9.117993254886273e-203,0.7292798069073226,1.3982205446211917,,,
prior_comorbidities_counts,82260989.5,1.0661305606478129e-197,0.88620310226103,1.2905095713130224,,,
cancer,93554126.5,8.975823485430375e-180,0.06680154758101729,0.18172014019951468,,,
procedure_R,98428871.0,3.090305100186988e-166,0.015582295105242608,0.08344567268805608,,,
Positive_urin_test,85159359.0,1.7940187801159525e-161,1.4234905760834842,2.040442167700189,,,
procedure_P_aggregate,90861981.0,9.09574276985113e-142,0.33454016256699676,0.6221353464545699,,,
cardiovascular,89793234.5,1.5143070950098356e-134,0.24228871614666525,0.3968724723645187,,,
procedure_W_aggregate,86694332.0,4.942459850275391e-125,3.9896354665814786,7.32704232946886,,,
ICD_N,93989762.0,1.2466367731610224e-119,0.11560714158946508,0.23726071717444056,,,
ICD_E,95326940.5,6.173932779419837e-118,0.08564938061264331,0.20490698301428956,,,
procedure_T_aggregate,90388872.0,3.177158173687538e-113,0.6153764242359706,1.0806147209490429,,,
ICD_N_aggregate,88194014.5,5.312688476904842e-110,3.7141589465090687,7.733620922081424,,,
procedure_P,101035132.0,1.8426844194823795e-108,0.007631420154048202,0.05217039633324346,,,
procedure_Y_aggregate,102541509.5,8.605980998851064e-105,0.0004969296844496504,0.028174710164464815,,,
procedure_Y,102736544.5,2.316684852241728e-104,3.549497746068931e-05,0.02386087894311135,,,
ICD_O_aggregate,110650265.0,1.5626028601862474e-96,0.49135697298832215,0.009706120248045295,,,
procedure_M_aggregate,110566746.5,8.144818502358003e-96,0.46778830795442444,0.012671879212725803,,,
procedure_F_aggregate,90623111.5,7.971645053399038e-94,1.4430838036417848,1.916149905634942,,,
Positive_edta_test,96825745.5,4.626669279080359e-92,0.121215348028254,0.2636829334052305,,,
ICD_A_aggregate,92787483.5,4.850371328140499e-89,0.38441060589926523,0.5923429495820977,,,
ICD_Z,93957829.0,6.706717631485326e-82,0.19075000887374435,0.3025074143974117,,,
procedure_1_aggregate,99573005.0,3.4951745729492363e-81,0.20100805735988359,0.4780264222162308,,,
Positive_blood_culture_test_test,96757959.5,1.4437130155803911e-74,0.11180917900117134,0.22661094634672418,,,
total_ICU_LOS,90616578.5,9.549015002490682e-74,1.8076231379926433,2.9272321829783507,,,
ICD_A,99770196.5,1.52009926562003e-71,0.03041919568381074,0.0764356969533567,,,
ICD_D,99455368.0,5.680102566866028e-67,0.03911546516167962,0.09989215421946616,,,
procedure_2_aggregate,102992372.0,4.782449047117329e-66,0.002520143399708941,0.03572391480183338,,,
PH_average,110946234.0,2.497893010108104e-65,0.711623004791627,0.2570426635391474,,,
procedure_T,102468272.0,1.458061868973886e-62,0.004188407340361339,0.025208951199784307,,,
Positive_hal_test,99488660.0,3.2377610744579957e-62,0.05040286799417883,0.11674305742787813,,,
ICD_P_aggregate,109021797.0,6.802837309796926e-62,0.3350725872289071,0.04286869776220006,,,
organdysfunction,97949570.0,1.6610888574467235e-57,0.09239342633017428,0.15772445403073604,,,
ICD_Z_aggregate,92240451.5,1.6101120291431334e-55,8.39953146629752,13.943246157994068,,,
LAKTAT BLODGASS_average,108309454.0,2.352992528384936e-52,0.08016756706157388,0.014720721913844152,,,
Positive_plasma_test,98160723.5,1.1178466511556898e-51,0.15003726972633372,0.26934483688325694,,,
ICD_M,109881934.0,1.711999836259085e-51,0.09125758705143222,0.03531949312483149,,,
ICD_R_aggregate,92940110.0,2.996441892051741e-51,2.7780854009157703,2.8854138581827984,,,
ICD_H,108544372.5,1.7543104142969675e-49,0.05530117488375395,0.011863035858722027,,,
ICD_F,100167796.0,6.506232912619054e-47,0.048805594008447806,0.09355621461310326,,,
CRP_average,93391150.5,3.456787092532515e-45,54.92968674355863,60.5767158248939,,,
PH,107810685.5,2.0896554961794823e-44,0.27922538127521584,0.04523860878943112,,,
TROMBOCYTTER,94768752.5,5.035339015328122e-38,140.32223878654509,163.23831670710885,,,
procedure_X_aggregate,101497771.5,3.882770842424184e-37,0.02903489156284386,0.0637638177406309,,,
infection,96302059.5,4.3075193822821885e-35,0.396549888190821,0.49770827716365595,,,
Positive_bronki_test,102283452.5,7.178507778505122e-34,0.015724275015085366,0.04017255324885414,,,
ICD_Q_aggregate,108181231.0,2.187826908231105e-32,0.4477691406665957,0.1275276354812618,,,
dementia,102049888.0,1.430375398988515e-31,0.019912682355446704,0.04367754111620383,,,
BILIRUBIN TOTAL_average,95565379.5,3.690748862302253e-30,13.487312738558972,12.612933964125258,,,
procedure_D,106844171.0,1.1024833607018874e-28,0.04319738756965889,0.009301698571043408,,,
procedure_C,106377213.5,3.708607221870702e-28,0.027047172825045256,0.0018873011593421407,,,
ICD_F_aggregate,98508343.5,6.300614687658106e-26,3.6310297092961346,2.371528713939067,,,
ICD_K_aggregate,96903020.5,3.4506788715844646e-25,2.7748908529443086,2.577514154758695,,,
procedure_U,103359168.5,1.0006194954820554e-23,0.004756326979732368,0.016985710434079267,,,
procedure_O,106600839.5,1.0802149080806325e-23,0.039186455116601,0.010245349150714478,,,
