,Stat,P-Value,Mean (Class 0),Mean (Class 1),Chi2 Stat,Proportion (Class 0),Proportion (Class 1)
urgency_code,,0.0,,,3476.8719636480846,0.6887445426472154,0.6350768401186303
ICD_J_aggregate,75051088.0,0.0,2.1058460227877753,4.130493394445942,,,
ICD_I_aggregate,70409711.5,0.0,5.215170553366699,8.984631976273928,,,
CRP,54503172.5,0.0,20.847211869520457,82.77698391300441,,,
ICD_C_aggregate,66088361.5,0.0,5.717992404074823,21.923159881369642,,,
procedure_R_aggregate,80991734.0,0.0,1.203457210804671,1.8061472094904287,,,
procedure_0_aggregate,92207019.0,0.0,0.20679373868597595,1.8456457266109463,,,
care_level_code,,0.0,,,5309.82522571323,0.7020906541724345,0.6952008627662443
LOS,55965554.0,0.0,1.1788725020410022,5.038571717444051,,,
time_to_last,139810218.5,0.0,4029.568381074078,1528.2231059584794,,,
LEUKOCYTTER,66826795.0,0.0,5.593829434801651,11.083697312842686,,,
ICD_I,78565754.5,0.0,0.20370567564689596,0.746157994068482,,,
ICD_C,71549881.0,0.0,0.10201256522202108,0.6658128875707738,,,
age,55954082.5,0.0,55.44148652965605,75.13345915341063,,,
total_los,55653342.5,0.0,29.37551319821564,55.32891839669267,,,
ICD_J,80707904.0,0.0,0.14293827423419586,0.49015907252628743,,,
procedure_G,92445021.5,6.461147808177588e-307,0.05373939587548362,0.2100296575896468,,,
KREATININ_average,77213942.0,3.872568598236364e-263,70.35451359054105,98.55273301141723,,,
ICD_D_aggregate,81522390.0,1.0225342241721986e-248,1.3226138501402052,2.241978970072796,,,
procedure_G_aggregate,84138332.5,2.5276146830778575e-213,1.2656799062932595,2.038285252089512,,,
ICD_E_aggregate,83236161.5,2.527435546142632e-204,2.262733823164022,2.9621191695874898,,,
procedure_U_aggregate,84930257.0,9.117993254886273e-203,0.7292798069073226,1.3982205446211917,,,
prior_comorbidities_counts,82260989.5,1.0661305606478129e-197,0.88620310226103,1.2905095713130224,,,
Positive_urin_test,83689866.5,3.4100969888982916e-182,1.5700493380186704,2.1791588029118363,,,
cancer,93554126.5,8.975823485430375e-180,0.06680154758101729,0.18172014019951468,,,
procedure_R,98428871.0,3.090305100186988e-166,0.015582295105242608,0.08344567268805608,,,
KREATININ,84065630.0,9.475821574673034e-152,55.175925945645346,95.89530825918935,,,
procedure_P_aggregate,90861981.0,9.09574276985113e-142,0.33454016256699676,0.6221353464545699,,,
cardiovascular,89793234.5,1.5143070950098356e-134,0.24228871614666525,0.3968724723645187,,,
Positive_edta_test,95068501.0,1.990367851231134e-127,0.1289177581372236,0.2961714747910488,,,
procedure_W_aggregate,86694332.0,4.942459850275391e-125,3.9896354665814786,7.32704232946886,,,
ICD_N,93989762.0,1.2466367731610224e-119,0.11560714158946508,0.23726071717444056,,,
ICD_E,95326940.5,6.173932779419837e-118,0.08564938061264331,0.20490698301428956,,,
BILIRUBIN TOTAL,92208196.5,6.624664274016081e-117,3.4652740803842925,9.925024714658038,,,
CRP_average,86630808.5,5.239982296305585e-114,55.51249149748861,68.26720536652978,,,
procedure_T_aggregate,90388872.0,3.177158173687538e-113,0.6153764242359706,1.0806147209490429,,,
ICD_N_aggregate,88194014.5,5.312688476904842e-110,3.7141589465090687,7.733620922081424,,,
procedure_P,101035132.0,1.8426844194823795e-108,0.007631420154048202,0.05217039633324346,,,
procedure_Y_aggregate,102541509.5,8.605980998851064e-105,0.0004969296844496504,0.028174710164464815,,,
procedure_Y,102736544.5,2.316684852241728e-104,3.549497746068931e-05,0.02386087894311135,,,
Positive_blood_culture_test_test,95138371.0,7.578312641078385e-102,0.11745288041742094,0.2537071987058506,,,
ICD_O_aggregate,110650265.0,1.5626028601862474e-96,0.49135697298832215,0.009706120248045295,,,
procedure_M_aggregate,110566746.5,8.144818502358003e-96,0.46778830795442444,0.012671879212725803,,,
procedure_F_aggregate,90623111.5,7.971645053399038e-94,1.4430838036417848,1.916149905634942,,,
ICU_LOS_Total,89041514.0,1.5579416093539213e-89,1.9911159029330665,3.2515221982565077,,,
