,Stat,P-Value,Mean (Class 0),Mean (Class 1),Chi2 Stat,Proportion (Class 0),Proportion (Class 1)
urgency_code,,0.0,,,1495.6132847379947,0.6807283763277694,0.49494609164420483
care_level_code,,0.0,,,1675.9580309925614,0.6700050581689428,0.503032345013477
readmission,73300270.0,1.5617851875270433e-259,0.10706457595683695,0.2742587601078167,,,
CRP,64015954.5,1.3346958372170159e-253,24.322300904850223,52.30337488769092,,,
LOS,65080854.5,2.7310169368787146e-250,1.5301312313831048,2.154537286612745,,,
age,64884344.0,5.841356260310446e-225,55.242454897993596,67.17553908355795,,,
ICD_C,73912389.5,2.718255576854275e-215,0.15420671050413085,0.37331536388140163,,,
ICD_C_aggregate,71184081.5,5.6036103992561625e-192,7.42400944191536,16.129885444743934,,,
LEUKOCYTTER,68683534.0,9.318289074767002e-162,5.750231607935724,8.497265554806827,,,
total_los,70764668.0,5.3713693944255296e-126,30.803217557466315,42.78442273135668,,,
ICD_I_aggregate,71841426.0,2.090376144569754e-124,5.235238576968471,7.926212938005391,,,
time_to_last,104469491.5,7.37950298752333e-115,2926.7478334176362,2177.162398921833,,,
ICD_J,79396887.0,1.0660688098700882e-102,0.12409374473107401,0.26398247978436656,,,
procedure_0_aggregate,82334880.0,3.569048563069573e-101,0.3897824987354578,1.3396226415094339,,,
ICD_I,78510831.0,2.7391505957388863e-92,0.22094081942336874,0.44845013477088946,,,
procedure_R_aggregate,78542812.5,2.840466792866408e-88,1.2972854493340078,1.3096361185983827,,,
KREATININ_average,73650858.0,3.732200210925262e-88,67.64950820517976,83.89065381999715,,,
ICD_J_aggregate,76406340.0,9.980969169546653e-69,2.094587759231158,3.401280323450135,,,
prior_comorbidities_counts,76643264.0,5.989805463824227e-64,0.8601584892935424,1.1159029649595686,,,
ICD_D_aggregate,77890238.5,2.601211618606366e-60,1.360816051256112,1.9701819407008085,,,
ICD_E_aggregate,77796466.5,1.2492676441250163e-59,2.2152419490810993,2.711421832884097,,,
KREATININ,76496210.0,2.256786006386439e-59,52.82314058899562,71.55912314690026,,,
cancer,82571646.0,4.603968907920082e-55,0.07752486933063564,0.14487870619946092,,,
BILIRUBIN TOTAL,80492324.0,3.238969065590062e-53,4.107008374079694,6.576819407008086,,,
cardiovascular,79751986.0,4.767010405249556e-53,0.24535491485415614,0.3507412398921833,,,
Positive_urin_test,78606541.0,1.4163923017114096e-47,1.393019726858877,1.7946428571428572,,,
procedure_U_aggregate,79907768.0,4.255295383284669e-43,0.8004046535154274,1.1661051212938005,,,
CRP_average,78219377.0,5.63306620682026e-42,48.71917617114914,56.517417597312715,,,
ICD_N_aggregate,79394841.5,5.5224086480021174e-39,4.225324565840499,5.3382749326145555,,,
procedure_P_aggregate,82215168.0,5.122221292510266e-33,0.3509357612544259,0.5106132075471698,,,
procedure_R,85772847.5,8.033711873933326e-33,0.020367560276513236,0.049528301886792456,,,
procedure_W_aggregate,80167327.5,8.52787354188764e-31,4.295026133872871,6.055424528301887,,,
ICD_N,83911042.0,6.278183612780519e-27,0.10655875906255269,0.16088274932614555,,,
Positive_edta_test,84359958.0,1.1093842645937956e-26,0.1314112291350531,0.22287735849056603,,,
procedure_1_aggregate,85543802.5,1.0549829079204864e-25,0.22636992075535323,0.41778975741239893,,,
LEUKOCYTTER_average,80499175.0,2.2045089545030145e-25,8.013050858213386,8.927622029236018,,,
procedure_G_aggregate,81996046.0,7.355192251622003e-25,1.2796493002866296,1.6438679245283019,,,
total_ICU_LOS,80942884.5,3.033439717215107e-24,1.8688276288427987,2.3831143306379077,,,
ICD_H,90677588.5,5.501753046529051e-23,0.05823638509526218,0.02543800539083558,,,
ICU_LOS,81336199.0,3.3942353360533694e-22,0.7634055527454642,1.075584007187786,,,
Positive_hal_test,85406185.5,8.311769372805821e-22,0.05489799359298601,0.09838274932614555,,,
procedure_T_aggregate,82642037.0,3.696210704360028e-21,0.6612712864609678,0.9161051212938005,,,
procedure_2_aggregate,87268870.5,5.2179832998225245e-21,0.006170966110268083,0.025101078167115903,,,
ICD_P_aggregate,90209478.5,1.7705250796483557e-20,0.29549822964087,0.057446091644204854,,,
TROMBOCYTTER,82050085.5,1.2642240927501483e-19,112.9341623110212,127.3829655211141,,,
procedure_F_aggregate,82472784.0,1.6993092124089638e-19,1.4435339740347328,1.7434299191374663,,,
LAKTAT BLODGASS_average,90072910.0,2.6706788898267067e-19,0.07304264705332761,0.030073275607481874,,,
ICD_Z_aggregate,81625740.5,4.042991288568356e-19,9.001180239419996,11.038241239892184,,,
ICD_M,90951164.0,5.375035891741112e-19,0.08679817905918058,0.05053908355795148,,,
PH_average,90946531.0,2.9884300676044526e-18,0.6176578742451743,0.3715277739288312,,,
procedure_G,85919758.0,3.315186684805863e-17,0.057561962569549825,0.08473719676549865,,,
ICD_A_aggregate,83717271.0,5.675587630959596e-17,0.3704940145000843,0.4738881401617251,,,
infection,83057230.0,7.3560497479346e-17,0.3709323891417973,0.4467654986522911,,,
organdysfunction,85115494.0,1.1848643025836355e-15,0.09158657899173832,0.12786388140161725,,,
ICD_R_aggregate,82445780.5,1.7140210826138334e-15,2.631495531950767,2.8684299191374665,,,
ICD_E,85382940.5,2.5319967542741406e-15,0.0830888551677626,0.12415768194070081,,,
procedure_O,89664393.5,5.163361719300281e-15,0.044916540212443096,0.015835579514824796,,,
procedure_C,89293672.5,2.6944172761936432e-14,0.027617602427921092,0.007917789757412398,,,
ICD_Q_aggregate,90018782.5,4.3344342892915696e-13,0.40283257460799193,0.19171159029649595,,,
Positive_blood_culture_test_test,85359079.0,1.197280061258437e-12,0.11718091384252234,0.16795822102425875,,,
procedure_D,89436196.5,1.2008087597879019e-12,0.04602933737986849,0.016340970350404313,,,
Positive_plasma_test,85332056.0,1.4753815123662047e-12,0.16017534985668522,0.21816037735849056,,,
BILIRUBIN TOTAL_average,83087163.0,5.276509128431108e-12,12.760131229466372,11.952399972421341,,,
ICD_D,86276204.0,2.2501592832792343e-11,0.044545607823301296,0.06856469002695417,,,
ICD_A,86716973.0,1.1210599359840189e-10,0.024919912325071656,0.039588948787062,,,
Gender,,1.3232848857261289e-10,,,41.27383347983316,0.5050075872534142,0.5407681940700808
procedure_J,89791491.5,2.5104815996225166e-10,0.07317484403979092,0.04902291105121294,,,
ICD_O,87194609.0,2.6056304721421826e-10,0.015646602596526723,0.02526954177897574,,,
dementia,86931745.0,5.480890761370566e-10,0.01834429269937616,0.03116576819407008,,,
procedure_P,87289003.0,7.106615189332912e-10,0.009205867475973697,0.021731805929919138,,,
procedure_0,87829231.0,7.910368308516164e-10,0.0002360478839993256,0.0023584905660377358,,,
ICD_F_aggregate,84946526.5,1.510781523543353e-09,3.370257966616085,3.0112870619946093,,,
ICD_B_aggregate,85056581.5,3.153549686478206e-09,0.4675771370763783,0.542621293800539,,,
CRP-HØYSENSITIV,88850395.0,6.044930220046778e-09,0.14437953127634445,0.26448618598382745,,,
procedure_O_aggregate,91334139.5,8.485669963711247e-09,3.240870005058169,2.5444743935309972,,,
ICD_F,86612899.0,3.042268460629475e-08,0.046231664137582194,0.06283692722371968,,,
ICD_K_aggregate,84463034.5,8.947591688023902e-08,2.6250547968302143,2.606469002695418,,,
procedure_A_aggregate,90787366.5,5.315475851500062e-07,0.9134041476985332,0.7730795148247979,,,
procedure_X_aggregate,86946140.0,6.617840403864482e-07,0.033586241780475465,0.04834905660377359,,,
ICD_S,86823192.0,6.829974207044328e-07,0.040161861406170965,0.05929919137466307,,,
procedure_1,87820364.5,8.721418395892286e-07,0.0006407013994267408,0.0028638814016172507,,,
procedure_M,87459659.0,1.3596108131835067e-06,0.011970999831394368,0.019036388140161724,,,
procedure_I,88488204.0,2.62524404434716e-06,0.009846568875400438,0.0021900269541778976,,,
procedure_Z,89073300.5,3.227614742516566e-06,0.039217669870173666,0.02543800539083558,,,
ICD_Y_aggregate,86714585.0,7.011796439142003e-06,0.068049232844377,0.08507412398921833,,,
procedure_Z_aggregate,90913497.5,8.116798941032414e-06,3.6532456584049906,2.9659703504043127,,,
Positive_naso_test,86439378.5,1.2541324555769335e-05,0.11832743213623335,0.13611859838274934,,,
